nums,Regions,MissedRegions,Cover,Functions,MissedFunctions,Executed,Lines,MissedLines,Cover
0,23512,19693,16.24%,1601,1099,31.36%,49865,40063,19.66%
1,23566,19747,16.21%,1655,1153,30.33%,50540,40738,19.39%
2,23566,19678,16.50%,1655,1145,30.82%,50540,40563,19.74%
3,23565,19633,16.69%,1654,1138,31.20%,50524,40460,19.92%
4,23562,19596,16.83%,1651,1134,31.31%,50479,40294,20.18%
5,23562,19596,16.83%,1651,1134,31.31%,50479,40294,20.18%
6,23562,19596,16.83%,1651,1134,31.31%,50479,40294,20.18%
7,23562,19593,16.84%,1651,1133,31.37%,50479,40276,20.21%
8,23562,19593,16.84%,1651,1133,31.37%,50479,40276,20.21%
9,23561,19358,17.84%,1650,1110,32.73%,50451,39807,21.10%
10,23561,19358,17.84%,1650,1110,32.73%,50451,39807,21.10%
11,23561,19353,17.86%,1650,1110,32.73%,50451,39786,21.14%
12,23561,19352,17.86%,1650,1110,32.73%,50451,39786,21.14%
13,23561,19352,17.86%,1650,1110,32.73%,50451,39786,21.14%
14,23561,19352,17.86%,1650,1110,32.73%,50451,39786,21.14%
15,23561,19351,17.87%,1650,1110,32.73%,50451,39782,21.15%
16,23559,19145,18.74%,1648,1102,33.13%,50433,39483,21.71%
17,23559,19145,18.74%,1648,1102,33.13%,50433,39483,21.71%
18,23559,19145,18.74%,1648,1102,33.13%,50433,39483,21.71%
19,23559,19145,18.74%,1648,1102,33.13%,50433,39483,21.71%
20,23557,19142,18.74%,1646,1099,33.23%,50427,39474,21.72%
21,23557,19142,18.74%,1646,1099,33.23%,50427,39474,21.72%
22,23557,19142,18.74%,1646,1099,33.23%,50427,39474,21.72%
23,23557,19142,18.74%,1646,1099,33.23%,50427,39474,21.72%
24,23557,19140,18.75%,1646,1099,33.23%,50427,39468,21.73%
25,23557,19140,18.75%,1646,1099,33.23%,50427,39468,21.73%
26,23557,19140,18.75%,1646,1099,33.23%,50427,39468,21.73%
27,23557,19140,18.75%,1646,1099,33.23%,50427,39468,21.73%
28,23557,19140,18.75%,1646,1099,33.23%,50427,39468,21.73%
29,23557,19140,18.75%,1646,1099,33.23%,50427,39468,21.73%
30,23557,19139,18.75%,1646,1099,33.23%,50427,39468,21.73%
31,23556,19138,18.76%,1645,1098,33.25%,50426,39467,21.73%
32,23556,19138,18.76%,1645,1098,33.25%,50426,39467,21.73%
33,23556,19138,18.76%,1645,1098,33.25%,50426,39467,21.73%
34,23556,19134,18.77%,1645,1098,33.25%,50426,39456,21.75%
35,23556,19134,18.77%,1645,1098,33.25%,50426,39456,21.75%
36,23556,19134,18.77%,1645,1098,33.25%,50426,39456,21.75%
37,23556,19134,18.77%,1645,1098,33.25%,50426,39456,21.75%
38,23556,19134,18.77%,1645,1098,33.25%,50426,39456,21.75%
39,23556,19133,18.78%,1645,1098,33.25%,50426,39456,21.75%
40,23556,19132,18.78%,1645,1098,33.25%,50426,39456,21.75%
41,23556,19132,18.78%,1645,1098,33.25%,50426,39456,21.75%
42,23556,19132,18.78%,1645,1098,33.25%,50426,39456,21.75%
43,23556,19132,18.78%,1645,1098,33.25%,50426,39456,21.75%
44,23556,19132,18.78%,1645,1098,33.25%,50426,39456,21.75%
45,23556,19132,18.78%,1645,1098,33.25%,50426,39456,21.75%
46,23556,19132,18.78%,1645,1098,33.25%,50426,39456,21.75%
47,23556,19132,18.78%,1645,1098,33.25%,50426,39456,21.75%
48,23556,19131,18.79%,1645,1098,33.25%,50426,39452,21.76%
49,23556,19131,18.79%,1645,1098,33.25%,50426,39452,21.76%
50,23556,19131,18.79%,1645,1098,33.25%,50426,39452,21.76%
51,23556,19131,18.79%,1645,1098,33.25%,50426,39452,21.76%
52,23556,19131,18.79%,1645,1098,33.25%,50426,39452,21.76%
53,23556,19131,18.79%,1645,1098,33.25%,50426,39452,21.76%
